midi_file,path,composer,piano_roll_file
Bwv0997 Partita for Lute 1mov.mid,./data/Bach/,Bach,Bwv0997 Partita for Lute 1mov.npy
Bwv0535 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0535 Prelude and Fugue.npy
Bwv0806 English Suite n1 05mov.mid,./data/Bach/,Bach,Bwv0806 English Suite n1 05mov.npy
Bwv0998 Prelude Fugue Allegro for Lute 3mov.mid,./data/Bach/,Bach,Bwv0998 Prelude Fugue Allegro for Lute 3mov.npy
Jesu Joy of Man Desiring.mid,./data/Bach/,Bach,Jesu Joy of Man Desiring.npy
Prelude and Fugue in C Sharp BWV 872.mid,./data/Bach/,Bach,Prelude and Fugue in C Sharp BWV 872.npy
Bwv0582 Passacaglia and Fugue.mid,./data/Bach/,Bach,Bwv0582 Passacaglia and Fugue.npy
Bwv0527 Sonate en trio n3.mid,./data/Bach/,Bach,Bwv0527 Sonate en trio n3.npy
Bwv0806 English Suite n1 03mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 03mov .npy
Bwv0560 Short Prelude and Fugue n8 (Spurious).mid,./data/Bach/,Bach,Bwv0560 Short Prelude and Fugue n8 (Spurious).npy
Bwv0811 English Suite n6 2mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 2mov.npy
Bwv1005 Violin Sonata n3 3mov Largo.mid,./data/Bach/,Bach,Bwv1005 Violin Sonata n3 3mov Largo.npy
Bwv0559 Short Prelude and Fugue n7 (Spurious).mid,./data/Bach/,Bach,Bwv0559 Short Prelude and Fugue n7 (Spurious).npy
Bwv0556 Short Prelude and Fugue n4 (Spurious).mid,./data/Bach/,Bach,Bwv0556 Short Prelude and Fugue n4 (Spurious).npy
Bwv1014 Harpsicord and Violin Sonata 2mov.mid,./data/Bach/,Bach,Bwv1014 Harpsicord and Violin Sonata 2mov.npy
Bwv1005 Violin Sonata n3 2mov Fugue.mid,./data/Bach/,Bach,Bwv1005 Violin Sonata n3 2mov Fugue.npy
Bwv0933 Little Prelude n1.mid,./data/Bach/,Bach,Bwv0933 Little Prelude n1.npy
Bwv0996 Suite for Lute.mid,./data/Bach/,Bach,Bwv0996 Suite for Lute.npy
Prelude and Fugue in D.mid,./data/Bach/,Bach,Prelude and Fugue in D.npy
Bwv0537 Fantasia and Fugue.mid,./data/Bach/,Bach,Bwv0537 Fantasia and Fugue.npy
Bwv0542 Fantasia and Fugue.mid,./data/Bach/,Bach,Bwv0542 Fantasia and Fugue.npy
Bwv0552 Prelude and Fugue ''St. Anne''.mid,./data/Bach/,Bach,Bwv0552 Prelude and Fugue ''St. Anne''.npy
"Bwv802 Four Inventions (Duettos) Clavier-U""bung III n1.mid",./data/Bach/,Bach,"Bwv802 Four Inventions (Duettos) Clavier-U""bung III n1.npy"
Bwv0998 Prelude Fugue Allegro for Lute 1mov.mid,./data/Bach/,Bach,Bwv0998 Prelude Fugue Allegro for Lute 1mov.npy
Minuet in G.mid,./data/Bach/,Bach,Minuet in G.npy
Bwv0997 Partita for Lute 3mov.mid,./data/Bach/,Bach,Bwv0997 Partita for Lute 3mov.npy
Bwv0733 Fuga Sopra Magnificat.mid,./data/Bach/,Bach,Bwv0733 Fuga Sopra Magnificat.npy
Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,./data/Bach/,Bach,Bwv0557 Short Prelude and Fugue n5 (Spurious).npy
Bwv0547 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0547 Prelude and Fugue.npy
Bwv0558 Short Prelude and Fugue n6 (Spurious).mid,./data/Bach/,Bach,Bwv0558 Short Prelude and Fugue n6 (Spurious).npy
Prelude from Sonata n6.mid,./data/Bach/,Bach,Prelude from Sonata n6.npy
Bwv0967 Sonata.mid,./data/Bach/,Bach,Bwv0967 Sonata.npy
Bwv0906 Fantasia and Fugue.mid,./data/Bach/,Bach,Bwv0906 Fantasia and Fugue.npy
Bwv0525 Sonate en trio n1.mid,./data/Bach/,Bach,Bwv0525 Sonate en trio n1.npy
Bwv0806 English Suite n1 02mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 02mov .npy
Bwv0551 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0551 Prelude and Fugue.npy
Piano version of Bachs two part inventions No.2.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.2.npy
Bwv0541 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0541 Prelude and Fugue.npy
Bwv0937 Little Prelude n5.mid,./data/Bach/,Bach,Bwv0937 Little Prelude n5.npy
Bwv0539 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0539 Prelude and Fugue.npy
Bwv0529 Sonate en trio n5.mid,./data/Bach/,Bach,Bwv0529 Sonate en trio n5.npy
Bwv0811 English Suite n6 4mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 4mov.npy
AveMaria.mid,./data/Bach/,Bach,AveMaria.npy
Bwv0811 English Suite n6 8mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 8mov.npy
Bwv0935 Little Prelude n3.mid,./data/Bach/,Bach,Bwv0935 Little Prelude n3.npy
Bwv0816 French Suite n5.mid,./data/Bach/,Bach,Bwv0816 French Suite n5.npy
Piano version of Bachs two part inventions No.3.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.3.npy
Bwv0806 English Suite n1 09mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 09mov .npy
Piano version of Bachs two part inventions No.1.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.1.npy
Bwv0531 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0531 Prelude and Fugue.npy
Bwv0817 French Suite n6.mid,./data/Bach/,Bach,Bwv0817 French Suite n6.npy
Bwv0549 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0549 Prelude and Fugue.npy
Bwv0806 English Suite n1 10mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 10mov .npy
Bwv0815 French Suite n4.mid,./data/Bach/,Bach,Bwv0815 French Suite n4.npy
Piano version of Bachs two part inventions No.4.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.4.npy
Bwv0992 Capriccio.mid,./data/Bach/,Bach,Bwv0992 Capriccio.npy
Bwv0806 English Suite n1 01mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 01mov .npy
Bwv0543 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0543 Prelude and Fugue.npy
Bwv0997 Partita for Lute 5mov.mid,./data/Bach/,Bach,Bwv0997 Partita for Lute 5mov.npy
Piano version of Bachs two part inventions No.5.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.5.npy
Piano version of Bachs two part inventions No.7.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.7.npy
Bwv0582 Passacaglia and Fugue (Orchestral).mid,./data/Bach/,Bach,Bwv0582 Passacaglia and Fugue (Orchestral).npy
Bwv0572 Fantasia.mid,./data/Bach/,Bach,Bwv0572 Fantasia.npy
Bwv0561 Fantasie and Fuga.mid,./data/Bach/,Bach,Bwv0561 Fantasie and Fuga.npy
Bwv1014 Harpsicord and Violin Sonata 4mov.mid,./data/Bach/,Bach,Bwv1014 Harpsicord and Violin Sonata 4mov.npy
Bwv0533 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0533 Prelude and Fugue.npy
Bwv0811 English Suite n6 6mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 6mov.npy
Bwv0806 English Suite n1 08mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 08mov .npy
Bwv0593 Vivaldi Concerto Arrangement RV522.mid,./data/Bach/,Bach,Bwv0593 Vivaldi Concerto Arrangement RV522.npy
Piano version of Bachs two part inventions No.6.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.6.npy
Bwv0544 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0544 Prelude and Fugue.npy
Bwv0811 English Suite n6 3mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 3mov.npy
Bwv0565 Toccata and Fugue In Dm B.mid,./data/Bach/,Bach,Bwv0565 Toccata and Fugue In Dm B.npy
Bwv1014 Harpsicord and Violin Sonata 1mov.mid,./data/Bach/,Bach,Bwv1014 Harpsicord and Violin Sonata 1mov.npy
Bwv0806 English Suite n1 04mov .mid,./data/Bach/,Bach,Bwv0806 English Suite n1 04mov .npy
Bwv0526 Sonate en trio n2.mid,./data/Bach/,Bach,Bwv0526 Sonate en trio n2.npy
Piano version of Bachs two part inventions No.8.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.8.npy
Bwv0555 Short Prelude and Fugue n3 (Spurious).mid,./data/Bach/,Bach,Bwv0555 Short Prelude and Fugue n3 (Spurious).npy
Bwv0570 Fantasia.mid,./data/Bach/,Bach,Bwv0570 Fantasia.npy
Bwv0998 Prelude Fugue Allegro for Lute 2mov.mid,./data/Bach/,Bach,Bwv0998 Prelude Fugue Allegro for Lute 2mov.npy
Bwv0565 Toccata and Fugue In Dm A.mid,./data/Bach/,Bach,Bwv0565 Toccata and Fugue In Dm A.npy
Piano version of Bachs two part inventions No...mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No...npy
Piano version of Bachs two part inventions No.9.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.9.npy
Bwv1046 aSinfonia h.mid,./data/Bach/,Bach,Bwv1046 aSinfonia h.npy
Bwv0568 Prelude.mid,./data/Bach/,Bach,Bwv0568 Prelude.npy
"Clavierubung Part 111,Duet No.2 in F Major.mid",./data/Bach/,Bach,"Clavierubung Part 111,Duet No.2 in F Major.npy"
Bwv0530 Sonate en trio n6.mid,./data/Bach/,Bach,Bwv0530 Sonate en trio n6.npy
Bwv0550 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0550 Prelude and Fugue.npy
Bwv0546 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0546 Prelude and Fugue.npy
Bwv0963 Sonata.mid,./data/Bach/,Bach,Bwv0963 Sonata.npy
Bwv0938 Little Prelude n6.mid,./data/Bach/,Bach,Bwv0938 Little Prelude n6.npy
Bwv0997 Partita for Lute 2mov.mid,./data/Bach/,Bach,Bwv0997 Partita for Lute 2mov.npy
Bwv0554 Short Prelude and Fugue n2 (Spurious).mid,./data/Bach/,Bach,Bwv0554 Short Prelude and Fugue n2 (Spurious).npy
Bwv1014 Harpsicord and Violin Sonata 3mov.mid,./data/Bach/,Bach,Bwv1014 Harpsicord and Violin Sonata 3mov.npy
Bwv0811 English Suite n6 1mov.mid,./data/Bach/,Bach,Bwv0811 English Suite n6 1mov.npy
Bwv0536 Prelude and Fugue.mid,./data/Bach/,Bach,Bwv0536 Prelude and Fugue.npy
Bwv0590 Pastorale.mid,./data/Bach/,Bach,Bwv0590 Pastorale.npy
Piano version of Bachs two part inventions No.10.mid,./data/Bach/,Bach,Piano version of Bachs two part inventions No.10.npy
"Tocatto No.1 in F Sharp Minor, BWV 910.mid",./data/Bach/,Bach,"Tocatto No.1 in F Sharp Minor, BWV 910.npy"
